depth,dose,ssd,field_size
0,0,100,10
0.025012,27.40887927,100,10
0.050023,32.11526982,100,10
0.075035,36.82167776,100,10
0.100047,41.52810332,100,10
0.125058,46.23454651,100,10
0.15007,50.94100708,100,10
0.175082,55.64748528,100,10
0.200093,60.3539811,100,10
0.225105,65.06049455,100,10
0.250116,69.76702538,100,10
0.275128,72.73626162,100,10
0.30014,74.09660637,100,10
0.325151,75.45695186,100,10
0.350163,76.81729783,100,10
0.375175,78.17764454,100,10
0.400186,79.53799174,100,10
0.425198,80.89833967,100,10
0.45021,82.2586881,100,10
0.475221,83.61903725,100,10
0.500233,84.9793869,100,10
0.525245,86.14254718,100,10
0.550256,87.12612203,100,10
0.575268,88.10969957,100,10
0.600279,89.09328029,100,10
0.625291,90.0768642,100,10
0.650303,91.0604508,100,10
0.675314,92.04404083,100,10
0.700326,93.02763355,100,10
0.725338,94.01122945,100,10
0.750349,94.99482829,100,10
0.775361,95.61517304,100,10
0.800373,95.91017357,100,10
0.825384,96.20517386,100,10
0.850396,96.50017439,100,10
0.875408,96.79517491,100,10
0.900419,97.0901752,100,10
0.925431,97.38517573,100,10
0.950443,97.68017626,100,10
0.975454,97.97517654,100,10
1.000466,98.27017707,100,10
1.025477,98.4940382,100,10
1.050489,98.65524169,100,10
1.075501,98.81644469,100,10
1.100512,98.97764719,100,10
1.125524,99.13884897,100,10
1.150536,99.30005001,100,10
1.175547,99.46125056,100,10
1.200559,99.62245062,100,10
1.225571,99.78364994,100,10
1.250582,99.94484878,100,10
1.275594,100,100,10
1.300606,99.96330049,100,10
1.325617,99.92660123,100,10
1.350629,99.88990197,100,10
1.375641,99.85320247,100,10
1.400652,99.81650321,100,10
1.425664,99.77980395,100,10
1.450675,99.74310444,100,10
1.475687,99.70640518,100,10
1.500699,99.66970592,100,10
1.52571,99.62056777,100,10
1.550722,99.56083538,100,10
1.575734,99.50110201,100,10
1.600745,99.44136816,100,10
1.625757,99.38163381,100,10
1.650769,99.32189873,100,10
1.67578,99.26216316,100,10
1.700792,99.20242686,100,10
1.725804,99.14269007,100,10
1.750815,99.08295254,100,10
1.775827,98.99734378,100,10
1.800838,98.89006696,100,10
1.82585,98.78279015,100,10
1.850862,98.67551334,100,10
1.875873,98.56823652,100,10
1.900885,98.46095971,100,10
1.925897,98.35368289,100,10
1.950908,98.24640608,100,10
1.97592,98.13912926,100,10
2.000932,98.0318527,100,10
2.025943,97.92405737,100,10
2.050955,97.81583509,100,10
2.075967,97.70761208,100,10
2.100978,97.59938858,100,10
2.12599,97.49116434,100,10
2.151002,97.38293937,100,10
2.176013,97.27471391,100,10
2.201025,97.16648796,100,10
2.226036,97.05826128,100,10
2.251048,96.9500341,100,10
2.27606,96.83198728,100,10
2.301071,96.70598847,100,10
2.326083,96.57998992,100,10
2.351095,96.45399136,100,10
2.376106,96.3279928,100,10
2.401118,96.20199424,100,10
2.42613,96.07599568,100,10
2.451141,95.94999712,100,10
2.476153,95.82399856,100,10
2.501165,95.69800001,100,10
2.526176,95.57203768,100,10
2.551188,95.44610081,100,10
2.576199,95.32015905,100,10
2.601211,95.19421239,100,10
2.626223,95.06826084,100,10
2.651234,94.94230439,100,10
2.676246,94.81634328,100,10
2.701258,94.69037729,100,10
2.726269,94.56440639,100,10
2.751281,94.4384306,100,10
2.776293,94.30898582,100,10
2.801304,94.1768278,100,10
2.826316,94.04467002,100,10
2.851328,93.91251199,100,10
2.876339,93.78035421,100,10
2.901351,93.64819619,100,10
2.926363,93.5160384,100,10
2.951374,93.38388038,100,10
2.976386,93.2517226,100,10
3.001397,93.11956457,100,10
3.026409,92.99269815,100,10
3.051421,92.8699032,100,10
3.076432,92.74710556,100,10
3.101444,92.62430547,100,10
3.126456,92.50150293,100,10
3.151467,92.37869819,100,10
3.176479,92.255891,100,10
3.201491,92.13308136,100,10
3.226502,92.01026927,100,10
3.251514,91.88745474,100,10
3.276526,91.76175901,100,10
3.301537,91.6338847,100,10
3.326549,91.50601015,100,10
3.35156,91.3781356,100,10
3.376572,91.25026105,100,10
3.401584,91.12238649,100,10
3.426595,90.99451194,100,10
3.451607,90.86663739,100,10
3.476619,90.73876284,100,10
3.50163,90.61088829,100,10
3.526642,90.48753933,100,10
3.551654,90.36755628,100,10
3.576665,90.24757178,100,10
3.601677,90.12758629,100,10
3.626689,90.00759957,100,10
3.6517,89.88761164,100,10
3.676712,89.76762247,100,10
3.701724,89.64763233,100,10
3.726735,89.52764072,100,10
3.751747,89.40764789,100,10
3.776758,89.28416282,100,10
3.80177,89.15812386,100,10
3.826782,89.03208491,100,10
3.851793,88.9060462,100,10
3.876805,88.78000725,100,10
3.901817,88.6539683,100,10
3.926828,88.52792959,100,10
3.95184,88.40189064,100,10
3.976852,88.27585169,100,10
4.001863,88.14981273,100,10
4.026875,88.02820708,100,10
4.051887,87.90978839,100,10
4.076898,87.79136896,100,10
4.10191,87.67294904,100,10
4.126922,87.55452839,100,10
4.151933,87.43610725,100,10
4.176945,87.31768537,100,10
4.201956,87.19926301,100,10
4.226968,87.08083991,100,10
4.25198,86.96241656,100,10
4.276991,86.84024784,100,10
4.302003,86.71543295,100,10
4.327015,86.59061806,100,10
4.352026,86.46580316,100,10
4.377038,86.34098827,100,10
4.40205,86.21617338,100,10
4.427061,86.09135848,100,10
4.452073,85.96654335,100,10
4.477085,85.84172845,100,10
4.502096,85.71691356,100,10
4.527108,85.59674152,100,10
4.552119,85.47979391,100,10
4.577131,85.36284506,100,10
4.602143,85.24589524,100,10
4.627154,85.12894395,100,10
4.652166,85.01199168,100,10
4.677178,84.89503794,100,10
4.702189,84.77808323,100,10
4.727201,84.66112704,100,10
4.752213,84.54416987,100,10
4.777224,84.42348471,100,10
4.802236,84.30025522,100,10
4.827248,84.17702646,100,10
4.852259,84.0537982,100,10
4.877271,83.93057066,100,10
4.902283,83.80734362,100,10
4.927294,83.68411731,100,10
4.952306,83.56089149,100,10
4.977317,83.43766616,100,10
5.002329,83.31444157,100,10
5.027341,83.19591858,100,10
5.052352,83.08055025,100,10
5.077364,82.96518093,100,10
5.102376,82.84981137,100,10
5.127387,82.73444108,100,10
5.152399,82.61907005,100,10
5.177411,82.50369853,100,10
5.202422,82.38832627,100,10
5.227434,82.27295353,100,10
5.252446,82.1575803,100,10
5.277457,82.03887933,100,10
5.302469,81.91798412,100,10
5.32748,81.79708794,100,10
5.352492,81.67619126,100,10
5.377504,81.55529409,100,10
5.402515,81.43439619,100,10
5.427527,81.31349779,100,10
5.452539,81.19259867,100,10
5.47755,81.0716988,100,10
5.502562,80.95079845,100,10
5.527574,80.83380628,100,10
5.552585,80.71934644,100,10
5.577597,80.60488611,100,10
5.602609,80.49042505,100,10
5.62762,80.37596349,100,10
5.652632,80.26150145,100,10
5.677644,80.14703867,100,10
5.702655,80.03257516,100,10
5.727667,79.9181114,100,10
5.752678,79.80364667,100,10
5.77769,79.68641262,100,10
5.802702,79.56741495,100,10
5.827713,79.44841727,100,10
5.852725,79.3294196,100,10
5.877737,79.21042193,100,10
5.902748,79.09142425,100,10
5.92776,78.97242658,100,10
5.952772,78.85342891,100,10
5.977783,78.73443123,100,10
6.002795,78.61543356,100,10
6.027807,78.50073283,100,10
6.052818,78.38872062,100,10
6.07783,78.27670767,100,10
6.102841,78.16469399,100,10
6.127853,78.05267982,100,10
6.152865,77.94066516,100,10
6.177876,77.82864977,100,10
6.202888,77.71663389,100,10
6.2279,77.60461727,100,10
6.252911,77.49260016,100,10
6.277923,77.37777776,100,10
6.302935,77.26123114,100,10
6.327946,77.14468452,100,10
6.352958,77.02813791,100,10
6.37797,76.91159129,100,10
6.402981,76.79504467,100,10
6.427993,76.67849781,100,10
6.453005,76.5619512,100,10
6.478016,76.44540458,100,10
6.503028,76.32885796,100,10
6.528039,76.21652089,100,10
6.553051,76.10672667,100,10
6.578063,75.99693221,100,10
6.603074,75.88713775,100,10
6.628086,75.77734354,100,10
6.653098,75.66754908,100,10
6.678109,75.55775462,100,10
6.703121,75.4479604,100,10
6.728133,75.33816594,100,10
6.753144,75.22837148,100,10
6.778156,75.11582828,100,10
6.803168,75.00165364,100,10
6.828179,74.88747827,100,10
6.853191,74.77330217,100,10
6.878203,74.65912582,100,10
6.903214,74.5449485,100,10
6.928226,74.43077068,100,10
6.953237,74.31659237,100,10
6.978249,74.20241333,100,10
7.003261,74.0882338,100,10
7.028272,73.97881488,100,10
7.053284,73.8721714,100,10
7.078296,73.76552865,100,10
7.103307,73.65888639,100,10
7.128319,73.55224461,100,10
7.153331,73.44560358,100,10
7.178342,73.33896327,100,10
7.203354,73.23232346,100,10
7.228366,73.12568413,100,10
7.253377,73.01904554,100,10
7.278389,72.90800205,100,10
7.3034,72.79443578,100,10
7.328412,72.68086926,100,10
7.353424,72.567302,100,10
7.378435,72.45373401,100,10
7.403447,72.34016553,100,10
7.428459,72.22659656,100,10
7.45347,72.11302686,100,10
7.478482,71.99945642,100,10
7.503494,71.88588549,100,10
7.528505,71.77610327,100,10
7.553517,71.66845141,100,10
7.578529,71.56079954,100,10
7.60354,71.45314743,100,10
7.628552,71.34549556,100,10
7.653564,71.2378437,100,10
7.678575,71.13019183,100,10
7.703587,71.02253972,100,10
7.728598,70.91488785,100,10
7.75361,70.80723599,100,10
7.778622,70.6974714,100,10
7.803633,70.58654125,100,10
7.828645,70.47561185,100,10
7.853657,70.36468268,100,10
7.878668,70.2537545,100,10
7.90368,70.14282656,100,10
7.928692,70.03189936,100,10
7.953703,69.92097289,100,10
7.978715,69.81004691,100,10
8.003727,69.69912166,100,10
8.028738,69.59264685,100,10
8.05375,69.48858417,100,10
8.078761,69.384521,100,10
8.103773,69.2804571,100,10
8.128785,69.17639271,100,10
8.153796,69.07232758,100,10
8.178808,68.96826172,100,10
8.20382,68.86419561,100,10
8.228831,68.76012853,100,10
8.253843,68.6560612,100,10
8.278855,68.54985543,100,10
8.303866,68.44251227,100,10
8.328878,68.33516887,100,10
8.35389,68.22782547,100,10
8.378901,68.12048207,100,10
8.403913,68.01313891,100,10
8.428925,67.9057955,100,10
8.453936,67.7984521,100,10
8.478948,67.6911087,100,10
8.503959,67.58376529,100,10
8.528971,67.48098886,100,10
8.553983,67.38059811,100,10
8.578994,67.28020688,100,10
8.604006,67.17981491,100,10
8.629018,67.07942245,100,10
8.654029,66.9790295,100,10
8.679041,66.87863582,100,10
8.704053,66.7782414,100,10
8.729064,66.67784649,100,10
8.754076,66.57745109,100,10
8.779088,66.47455935,100,10
8.804099,66.37038822,100,10
8.829111,66.26621733,100,10
8.854122,66.16204743,100,10
8.879134,66.05787801,100,10
8.904146,65.95370908,100,10
8.929157,65.84954065,100,10
8.954169,65.74537319,100,10
8.979181,65.64120597,100,10
9.004192,65.53703949,100,10
9.029204,65.43727694,100,10
9.054216,65.33972944,100,10
9.079227,65.24217998,100,10
9.104239,65.1446288,100,10
9.129251,65.04707592,100,10
9.154262,64.94952107,100,10
9.179274,64.85196452,100,10
9.204286,64.75440624,100,10
9.229297,64.65684601,100,10
9.254309,64.55928382,100,10
9.27932,64.45948161,100,10
9.304332,64.35857284,100,10
9.329344,64.25766407,100,10
9.354355,64.1567553,100,10
9.379367,64.05584654,100,10
9.404379,63.95493777,100,10
9.42939,63.854029,100,10
9.454402,63.75312023,100,10
9.479414,63.65221147,100,10
9.504425,63.5513027,100,10
9.529437,63.45445022,100,10
9.554449,63.35956358,100,10
9.57946,63.26467645,100,10
9.604472,63.16978859,100,10
9.629484,63.07490023,100,10
9.654495,62.98001115,100,10
9.679507,62.88512157,100,10
9.704518,62.7902315,100,10
9.72953,62.6953407,100,10
9.754542,62.60044916,100,10
9.779553,62.50347697,100,10
9.804565,62.40551476,100,10
9.829577,62.30755181,100,10
9.854588,62.20958813,100,10
9.8796,62.11162396,100,10
9.904612,62.0136593,100,10
9.929623,61.91569391,100,10
9.954635,61.81772778,100,10
9.979647,61.71976116,100,10
10.004658,61.62179406,100,10
10.02967,61.5276749,100,10
10.054681,61.43535169,100,10
10.079693,61.34302847,100,10
10.104705,61.25070526,100,10
10.129716,61.15838204,100,10
10.154728,61.06605858,100,10
10.17974,60.97373537,100,10
10.204751,60.88141215,100,10
10.229763,60.78908894,100,10
10.254775,60.69676573,100,10
10.279786,60.60246247,100,10
10.304798,60.50725219,100,10
10.32981,60.41204118,100,10
10.354821,60.31682967,100,10
10.379833,60.22161768,100,10
10.404845,60.12640495,100,10
10.429856,60.03119148,100,10
10.454868,59.93597753,100,10
10.479879,59.84076309,100,10
10.504891,59.74554791,100,10
10.529903,59.65372117,100,10
10.554914,59.56341545,100,10
10.579926,59.473109,100,10
10.604938,59.38280206,100,10
10.629949,59.29249438,100,10
10.654961,59.20218621,100,10
10.679973,59.11187731,100,10
10.704984,59.02156792,100,10
10.729996,58.93125779,100,10
10.755008,58.84094717,100,10
10.780019,58.7495376,100,10
10.805031,58.65764501,100,10
10.830042,58.56575291,100,10
10.855054,58.47386154,100,10
10.880066,58.38197066,100,10
10.905077,58.29008052,100,10
10.930089,58.19819087,100,10
10.955101,58.10630195,100,10
10.980112,58.01441352,100,10
11.005124,57.92252583,100,10
11.030136,57.83388262,100,10
11.055147,57.74663975,100,10
11.080159,57.65939589,100,10
11.105171,57.57215154,100,10
11.130182,57.4849067,100,10
11.155194,57.39766138,100,10
11.180206,57.31041507,100,10
11.205217,57.22316852,100,10
11.230229,57.13592124,100,10
11.25524,57.04867322,100,10
11.280252,56.95957907,100,10
11.305264,56.86970373,100,10
11.330275,56.77982864,100,10
11.355287,56.6899533,100,10
11.380299,56.6000782,100,10
11.40531,56.51020286,100,10
11.430322,56.42032776,100,10
11.455334,56.33045242,100,10
11.480345,56.24057733,100,10
11.505357,56.15070199,100,10
11.530369,56.06441583,100,10
11.55538,55.97961765,100,10
11.580392,55.89481897,100,10
11.605404,55.81001981,100,10
11.630415,55.72521991,100,10
11.655427,55.64041927,100,10
11.680438,55.55561815,100,10
11.70545,55.47081653,100,10
11.730462,55.38601418,100,10
11.755473,55.3012111,100,10
11.780485,55.21466202,100,10
11.805497,55.12740274,100,10
11.830508,55.04014272,100,10
11.85552,54.95288222,100,10
11.880532,54.86562098,100,10
11.905543,54.77835925,100,10
11.930555,54.69109679,100,10
11.955567,54.60383383,100,10
11.980578,54.51657015,100,10
12.00559,54.42930597,100,10
12.030601,54.34577297,100,10
12.055613,54.26372525,100,10
12.080625,54.18167728,100,10
12.105636,54.09962833,100,10
12.130648,54.01757889,100,10
12.15566,53.93552896,100,10
12.180671,53.8534783,100,10
12.205683,53.77142715,100,10
12.230695,53.68937526,100,10
12.255706,53.60732288,100,10
12.280718,53.52217094,100,10
12.30573,53.43581012,100,10
12.330741,53.34944979,100,10
12.355753,53.26309044,100,10
12.380765,53.17673133,100,10
12.405776,53.09037296,100,10
12.430788,53.00401532,100,10
12.455799,52.91765817,100,10
12.480811,52.83130151,100,10
12.505823,52.74494559,100,10
12.530834,52.66158983,100,10
12.555846,52.57938053,100,10
12.580858,52.49717123,100,10
12.605869,52.41496193,100,10
12.630881,52.33275238,100,10
12.655893,52.25054308,100,10
12.680904,52.16833378,100,10
12.705916,52.08612448,100,10
12.730928,52.00391518,100,10
12.755939,51.92170588,100,10
12.780951,51.83826689,100,10
12.805962,51.75436716,100,10
12.830974,51.67046694,100,10
12.855986,51.58656624,100,10
12.880997,51.5026648,100,10
12.906009,51.41876262,100,10
12.931021,51.33485996,100,10
12.956032,51.2509568,100,10
12.981044,51.16705291,100,10
13.006056,51.08314829,100,10
13.031067,51.00329212,100,10
13.056079,50.92491976,100,10
13.081091,50.84654788,100,10
13.106102,50.76817674,100,10
13.131114,50.68980609,100,10
13.156126,50.61143617,100,10
13.181137,50.53306675,100,10
13.206149,50.45469806,100,10
13.23116,50.37632985,100,10
13.256172,50.29796214,100,10
13.281184,50.21822911,100,10
13.306195,50.13800572,100,10
13.331207,50.05778185,100,10
13.356219,49.97755724,100,10
13.38123,49.89733189,100,10
13.406242,49.8171063,100,10
13.431254,49.73687973,100,10
13.456265,49.65665267,100,10
13.481277,49.57642512,100,10
13.506289,49.49619684,100,10
13.5313,49.41949703,100,10
13.556312,49.34403573,100,10
13.581323,49.26857442,100,10
13.606335,49.19311311,100,10
13.631347,49.11765181,100,10
13.656358,49.0421905,100,10
13.68137,48.9667292,100,10
13.706382,48.89126789,100,10
13.731393,48.81580658,100,10
13.756405,48.74034528,100,10
13.781417,48.66363665,100,10
13.806428,48.58650035,100,10
13.83144,48.50936453,100,10
13.856452,48.43222944,100,10
13.881463,48.35509509,100,10
13.906475,48.27796098,100,10
13.931487,48.20082786,100,10
13.956498,48.12369498,100,10
13.98151,48.04656307,100,10
14.006521,47.96943142,100,10
14.031533,47.89538953,100,10
14.056545,47.82238516,100,10
14.081556,47.74938103,100,10
14.106568,47.67637665,100,10
14.13158,47.60337252,100,10
14.156591,47.53036815,100,10
14.181603,47.45736402,100,10
14.206615,47.38435965,100,10
14.231626,47.31135527,100,10
14.256638,47.23835114,100,10
14.28165,47.16419199,100,10
14.306661,47.08965363,100,10
14.331673,47.01511502,100,10
14.356685,46.94057665,100,10
14.381696,46.86603804,100,10
14.406708,46.79149968,100,10
14.431719,46.71696107,100,10
14.456731,46.6424227,100,10
14.481743,46.56788434,100,10
14.506754,46.49334573,100,10
14.531766,46.42182687,100,10
14.556778,46.35127771,100,10
14.581789,46.28072856,100,10
14.606801,46.2101794,100,10
14.631813,46.13963,100,10
14.656824,46.06908085,100,10
14.681836,45.99853169,100,10
14.706848,45.92798254,100,10
14.731859,45.85743338,100,10
14.756871,45.78688423,100,10
14.781882,45.71516658,100,10
14.806894,45.64308221,100,10
14.831906,45.57099784,100,10
14.856917,45.49891347,100,10
14.881929,45.4268291,100,10
14.906941,45.35474473,100,10
14.931952,45.28266036,100,10
14.956964,45.21057599,100,10
14.981976,45.13849162,100,10
15.006987,45.06640724,100,10
15.031999,44.99714115,100,10
15.057011,44.92873973,100,10
15.082022,44.86033855,100,10
15.107034,44.79193713,100,10
15.132046,44.72353595,100,10
15.157057,44.65513453,100,10
15.182069,44.58673311,100,10
15.20708,44.51833194,100,10
15.232092,44.44993052,100,10
15.257104,44.38152909,100,10
15.282115,44.3119467,100,10
15.307127,44.24201031,100,10
15.332139,44.17207392,100,10
15.35715,44.10213728,100,10
15.382162,44.03220089,100,10
15.407174,43.9622645,100,10
15.432185,43.89232811,100,10
15.457197,43.82239172,100,10
15.482209,43.75245533,100,10
15.50722,43.68251869,100,10
15.532232,43.61552322,100,10
15.557243,43.54938803,100,10
15.582255,43.48325209,100,10
15.607267,43.41711567,100,10
15.632278,43.35097876,100,10
15.65729,43.28484112,100,10
15.682302,43.21870274,100,10
15.707313,43.15256387,100,10
15.732325,43.08642451,100,10
15.757337,43.02028442,100,10
15.782348,42.95286053,100,10
15.80736,42.88506991,100,10
15.832372,42.8172793,100,10
15.857383,42.74948868,100,10
15.882395,42.68169807,100,10
15.907407,42.61390745,100,10
15.932418,42.54611684,100,10
15.95743,42.47832622,100,10
15.982441,42.41053561,100,10
16.007453,42.34274499,100,10
16.032465,42.27792076,100,10
16.057476,42.21392351,100,10
16.082488,42.14992552,100,10
16.1075,42.08592704,100,10
16.132511,42.02192783,100,10
16.157523,41.95792788,100,10
16.182535,41.89392768,100,10
16.207546,41.82992676,100,10
16.232558,41.7659251,100,10
16.25757,41.70192294,100,10
16.282581,41.63686933,100,10
16.307593,41.57152977,100,10
16.332604,41.50619021,100,10
16.357616,41.44085065,100,10
16.382628,41.37551085,100,10
16.407639,41.31017129,100,10
16.432651,41.24483173,100,10
16.457663,41.17949217,100,10
16.482674,41.11415261,100,10
16.507686,41.04881305,100,10
16.532698,40.98638309,100,10
16.557709,40.92472525,100,10
16.582721,40.86306767,100,10
16.607733,40.80140983,100,10
16.632744,40.73975224,100,10
16.657756,40.67809441,100,10
16.682768,40.61643682,100,10
16.707779,40.55477899,100,10
16.732791,40.4931214,100,10
16.757802,40.43146357,100,10
16.782814,40.36842647,100,10
